hp_id	english	french
HP:0002942	Thoracic kyphosis	Cyphose thoracique
HP:0010688	Low placental alkaline phosphatase	Phosphatase alcaline placentaire faible
HP:0011146	Dialeptic seizure	Crise dialectique
HP:0012692	Focal T2 hyperintense thalamic lesion	Lésion thalamique hyperintense focale T2
HP:0020001	Clinical anophthalmos	Anophtalmie clinique
HP:0020002	Ileal stricture	Sténose iléale
HP:0020003	Embryo developmental arrest	Arrêt du développement de l'embryon
HP:0020004	Abnormal CSF guanidinoacetic acid concentration	Concentration anormale d'acide guanidinoacétique dans le LCR
HP:0020005	Decreased CSF guanidinoacetic acid concentration	Diminution de la concentration d'acide guanidinoacétique dans le LCR
HP:0020007	Abnormal affect regulation	Régulation anormale des effets
HP:0020013	Slough	Bourbier
HP:0020014	Local paresthesia at bite site	Paresthésie locale au site de la morsure
HP:0020015	Amyloid deposition by anatomical site	Dépôt amyloïde par site anatomique
HP:0020016	Amyloid deposition by type of amyloid	Dépôt amyloïde par type d’amyloïde
HP:0020017	Transthyretin amyloid deposition	Dépôt amyloïde de transthyrétine
HP:0020018	Cerebral transthyretin amyloid deposition	Dépôt amyloïde de transthyrétine cérébrale
HP:0020019	Abnormal CSF 5-hydroxyindoleacetic acid concentration	Concentration anormale d'acide 5-hydroxyindoléacétique dans le LCR
HP:0020020	Decreased CSF 5-hydroxyindoleacetic acid concentration	Diminution de la concentration d'acide 5-hydroxyindoléacétique dans le LCR
HP:0020021	Hip external rotation contracture	Contracture de rotation externe de la hanche
HP:0020022	Hip abduction contracture	Contracture d'abduction de la hanche
HP:0020023	Hip adduction contracture	Contracture d'adduction de la hanche
HP:0020024	Hip extension contracture	Contracture d'extension de la hanche
HP:0020025	Hip flexion contracture	Contracture de flexion de la hanche
HP:0020026	Positive Coombs test	Test de Coombs positif
HP:0020027	Direct antiglobulin test positive for IgG	Test direct à l'antiglobuline positif aux IgG
HP:0020028	Direct antiglobulin test positive for IgM	Test direct à l'antiglobuline positif aux IgM
HP:0020029	Abnormal spinal cord white matter morphology	Morphologie anormale de la substance blanche de la moelle épinière
HP:0020030	Abnormal spinal cord lateral corticospinal tract morphology	Morphologie anormale du tractus corticospinal latéral de la moelle épinière
HP:0020031	Direct antiglobulin test positive for C3d	Test direct à l'antiglobuline positif au C3d
HP:0020032	Hyperreflective retinal dots on OCT	Points rétiniens hyperréfléchissants en OCT
HP:0020033	Irregularity of the retinal pigment epithelium layer on OCT	Irrégularité de la couche de l'épithélium pigmentaire rétinien en OCT
HP:0020039	Retinal thickening on OCT	Épaississement rétinien en OCT
HP:0020040	Abnormal anteroposterior retina thickness on OCT	Épaisseur anormale de la rétine antéropostérieure en OCT
HP:0020051	Abnormal seminiferous tubule morphology	Morphologie anormale des tubes séminifères
HP:0020066	Pathological inclusion body by subcellular location	Corps d'inclusion pathologique par localisation subcellulaire
HP:0020067	Pathological inclusion body by anatomical location	Corps d'inclusion pathologique par localisation anatomique
HP:0020068	Intranuclear inclusion bodies	Corps d'inclusion intranucléaires
HP:0020074	Crystalluria	Cristallurie
HP:0020075	Leucine crystalluria	Cristallurie de leucine
HP:0020076	Wrist ganglion	Ganglion du poignet
HP:0020077	Carnitinuria	Carnitinurie
HP:0020078	Alaninuria	Alaninurie
HP:0020079	Beta-alaninuria	Bêta-alaninurie
HP:0020080	Erythrocyte inclusion bodies	Corps d'inclusion érythrocytaire
HP:0020081	Pappenheimer bodies	Corps de Pappenheimer
HP:0020082	Heinz bodies	Corps Heinz
HP:0020083	Furuncle	Furoncle
HP:0020084	Carbuncle	Anthrax
HP:0020085	Infection following live vaccination	Infection suite à une vaccination vivante
HP:0020086	BCGitis	BCGite
HP:0020087	BCGosis	BCGose
HP:0020088	Post-vaccination measles	Rougeole post-vaccination
HP:0020089	Post-vaccination rubella	Rubéole post-vaccination
HP:0020090	Post-vaccination polio	Polio post-vaccination
HP:0020091	Post-vaccination rotavirus infection	Infection à rotavirus post-vaccination
HP:0020093	Recurrent deep organ abscess formation	Formation récurrente d'abcès profonds d'un organe
HP:0020095	Prolonged need of intravenous antibiotic therapy	Besoin prolongé d'une antibiothérapie intraveineuse
HP:0020096	Recurrent streptococcal infections	Infections streptococciques récurrentes
HP:0020097	Infection due to encapsulated bacteria	Infection due à des bactéries encapsulées
HP:0020099	Severe norovirus infection	Infection grave à norovirus
HP:0020100	Unusual fungal infection	Infection fongique inhabituelle
HP:0020101	Invasive fungal infection	Infection fongique invasive
