subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0000001	en	fr	rdfs:label	All	OFFICIAL	Tous
HP:0000002	en	fr	IAO:0000115	Deviation from the norm of height with respect to that which is expected according to age and gender norms	OFFICIAL	Écart par rapport à la moyenne de la taille d'un individu, la moyenne étant déterminée selon l'âge et le sexe
HP:0000002	en	fr	rdfs:label	Abnormality of body height	OFFICIAL	Anomalie de la taille corporelle
HP:0000003	en	fr	IAO:0000115	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional	OFFICIAL	La dysplasie rénale multikystique est caractérisée par la présence de multiples kystes de taille variable et par l'absence d'un système pyélocaliciel normal. Cette maladie est associée à une atrésie urétérale ou urétéropelvique et le rein touché est non-fonctionnel
HP:0000003	en	fr	rdfs:label	Multicystic kidney dysplasia	OFFICIAL	Polykystose rénale
HP:0000005	en	fr	IAO:0000115	The pattern in which a particular genetic trait or disorder is passed from one generation to the next	OFFICIAL	Le mode de transmission, d'une génération à l'autre, d'un caractère ou d'une maladie génétique
HP:0000005	en	fr	rdfs:label	Mode of inheritance	OFFICIAL	Mode de transmission
HP:0000006	en	fr	IAO:0000115	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele	OFFICIAL	Un mode de transmission qui concerne les caractères associés à un gène porté par un autosome (c.-à-d., les chromosomes 1 à 22 chez l'être humain), et où le caractère se manifeste chez les porteurs hétérozygotes. Dans le cadre de la génétique médicale, une maladie autosomique dominante survient lorsqu’une seule copie de l’allèle muté est présente. Les hommes et les femmes sont touchés de la même manière, et peuvent tous deux transmettre la maladie avec un risque de 50 % que chaque enfant hérite de l’allèle muté
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000006	en	fr	rdfs:label	Autosomal dominant inheritance	OFFICIAL	Transmission autosomique dominante
HP:0000007	en	fr	IAO:0000115	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)	OFFICIAL	Un mode de transmission qui concerne les caractères associés à un gène porté par un autosome (c.-à-d., les chromosomes 1 à 22 chez l'être humain), et où le caractère se manifeste chez les porteurs homozygotes. Dans le cadre de la génétique médicale, une maladie autosomique récessive se manifeste chez les porteurs homozygotes (présence de deux allèles mutés identiques) ou chez les hétérozygotes composites (présence de deux allèles mutés différents)
HP:0000007	en	fr	rdfs:label	Autosomal recessive inheritance	OFFICIAL	Transmission autosomique récessive
HP:0000008	en	fr	IAO:0000115	An abnormality of the female internal genitalia	OFFICIAL	Une anomalie des organes génitaux internes féminins
HP:0000008	en	fr	rdfs:label	Abnormality of female internal genitalia	OFFICIAL	Anomalie des organes génitaux internes de la femme
HP:0000009	en	fr	IAO:0000115	Dysfunction of the urinary bladder	OFFICIAL	Dysfonctionnement de la vessie
HP:0000009	en	fr	rdfs:label	Functional abnormality of the bladder	OFFICIAL	Anomalie fonctionnelle de la vessie
HP:0000010	en	fr	IAO:0000115	Repeated infections of the urinary tract	OFFICIAL	Infections urinaires à répétition
HP:0000010	en	fr	rdfs:label	Recurrent urinary tract infections	OFFICIAL	Infections urinaires à répétition
HP:0000010	en	fr	rdfs:label	Recurrent urinary tract infections	OFFICIAL	Infections urinaires à répétition
HP:0000011	en	fr	IAO:0000115	A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention	OFFICIAL	Une incapacité à vider complètement la vessie au cours de la miction en raison d'une maladie neurologique
HP:0000011	en	fr	rdfs:label	Neurogenic bladder	OFFICIAL	Vessie neurologique
HP:0000011	en	fr	rdfs:label	Neurogenic bladder	OFFICIAL	Vessie neurologique
